(26304702, 139)
         product_module_code                 product_module_descr
17568                   1404              SYRUP SORGHUM AND SUGAR
17571                   1073    VEGETABLES CORN ON THE COB CANNED
17607                   1119                 TABASCO PEPPER SAUCE
17652                   1412                                JELLY
17679                   8491                  PRE SHAVE COSMETICS
17685                   1263              ASIAN CANNED VEGETABLES
17808                   1506                            NUTS CANS
18117                   1466                        COFFEE LIQUID
18792                   2608    VEGETABLES CORN ON THE COB FROZEN
19158                   2633        VEGETABLES GREEN BEANS FROZEN
19194                   2630               VEGETABLES CORN FROZEN
19245                   2636          VEGETABLES REMAINING FROZEN
19299                   1482                COCKTAIL MIXES LIQUID
19335                   3618  LUNCHMEAT DELI POUCHES REFRIGERATED
19356                   1032   FRUIT JUICE GRAPEFRUIT OTHER CNTNR
19446                   1475                               PEPPER
19941                   4008                  BAKERY BAGELS FRESH
20289                   7014                        PACKAGED SOAP
21075                   3590                      CHEESE SHREDDED
21387                   7012         DETERGENTS HEAVY DUTY LIQUID
21405                   7003                  DETERGENTS PACKAGED
21819                   4100                           EGGS FRESH
22125                   8428          FEMININE HYGIENE TOWELETTES
22128                   8511                    DENTURE ADHESIVES
22137                   1044                FRUIT JUICE REMAINING
22266                   1532                GUM CHEWING SUGARFREE
22320                   7065                     FABRIC FINISHERS
22422                   2693        CORN DOGS FROZEN REFRIGERATED
22425                   4355                        FRESH ORANGES
22569                   7454   PET CARE RAWHIDE AND CHEW PRODUCTS
23118                   7779        HOUSEHOLD SPECIALTY APPLIANCE
23145                   8536      PSORIASIS AND ECZEMA TREATMENTS
23169                   6023           KITCHEN UTENSIL AND GADGET
23226                   8613            ORAL RINSE AND ANTISEPTIC
23430                   7301                         BAGS FREEZER
23541                   3548             CHEESE NATURAL REMAINING
23556                   7870                            BATTERIES
23574                   1533         CANDY DIETETIC NON CHOCOLATE
23721                   8451                   COSMETICS BLUSHERS
23724                   8456                COSMETICS FACE POWDER
23850                   1105            TOMATOES REMAINING CANNED
23853                   1147                         OLIVES GREEN
23856                   8517                   EYE CARE REMAINING
23862                   8542                    ANTI GAS PRODUCTS
23988                   7150             CLEANERS NONDISINFECTANT
24051                   3629                      CREAMERS LIQUID
24354                   7381                             LIGHTERS
24519                   1101                          CHILI SAUCE
24534                   1100                               CATSUP
24564                   1127                         GRAVY CANNED
25860                   2695      SAUCES AND GRAVIES FROZEN RFRGR
25896                   7115                 TOILET BOWL CLEANERS
26277                   7375               CHARCOAL WOOD LIGHTERS
27402                   7632         CORRECTION FLUID AND ERASERS
27474                   4005  BAKERY BREAKFAST CAKES SWT RLS FRSH
27693                   2683        SEAFOOD FISH UNBREADED FROZEN
27930                   8522                         DENTAL FLOSS
28161                   6009      HAIR CARE AND FASHION ACCESSORY
28164                   1348                           CEREAL HOT
28362                   7808                           GRASS SEED
28590                   1112  FISH AND SEAFOOD AND COCKTAIL SAUCE
28707                   7871                          FLASHLIGHTS
28782                   1186                              MUSTARD
28806                   1115                           MEAT SAUCE
28863                   1128                       SAUCES DIPPING
28917                   1175                           MAYONNAISE
29016                   7308                           BAGS WASTE
29547                   1122                 WORCESTERSHIRE SAUCE
29571                   1064     VEGETABLES BEANS VGTRN SHLF STBL
30348                   1300              PET CARE WILD BIRD FOOD
30441                   2694             SOUP FROZEN REFRIGERATED
30543                   1277                           BABY JUICE
30993                   2651   BAKERY BISCUITS ROLLS MUFFINS FRZN
31191                   2617                      POT PIES FROZEN
31818                   7885  WATER CONDITIONER FILTERS AND UNITS
31863                   4460                        FRESH SPINACH
32112                   7181                     SPONGES PERSONAL
32829                   1476                             EXTRACTS
33027                   7416        ENGINE TREATMENT AND ADDITIVE
33195                   1207              SEAFOOD SARDINES CANNED
33198                   1202             SEAFOOD REMAINING CANNED
33234                   4006               BAKERY DOUGHNUTS FRESH
34161                   1388                      MIXES HUSHPUPPY
34179                   3561                           FRESH MEAT
34464                   1391                 FLOUR SINGLE PURPOSE
34794                   7290                        BAGS SANDWICH
34953                   1330                       SNACKS PRETZEL
35235                   7792                             MEAL KIT
35433                   7170                  UPHOLSTERY CLEANERS
35679                   1450                PUDDING SWEETENED MIX
35712                   7106               CLEANERS DISINFECTANTS
35775                   6013                    HOUSEHOLD SCISSOR
35856                   7417      MOTORIZED VEHICLE CLEANER PRTCT
35889                   7646                   ADHESIVE NOTE PADS
35898                   1114                        MEXICAN SAUCE
35907                   1120             SPAGHETTI MARINARA SAUCE
35913                   7098                        STARCH LIQUID
36072                   8619                      TOOTH WHITENERS
36096                   7455                    PET LITTER LINERS
36303                   7335                      DISPOSABLE CUPS
36456                   1113                            HOT SAUCE
36534                   5053            WINE FLAVORED REFRESHMENT
36906                   2631                         PIZZA FROZEN
36945                   2614        ENTREES ITALIAN 2 FOOD FROZEN
37146                   2606      ENTREES REMAINING 2 FOOD FROZEN
37482                   7734                         PAPER TOWELS
37485                   7260                        TOILET TISSUE
38205                   4003                 BAKERY MUFFINS FRESH
38211                   2609        ENTREES SEAFOOD 2 FOOD FROZEN
38310                   8539                 COLOGNE LOTION MEN'S
39495                   2613            ENTREES MULTI PACK FROZEN
39636                   7747              BABY BIB AND BURP CLOTH
39774                   1473       MEAT MARINADES AND TENDERIZERS
39837                   1400                          SUGAR BROWN
39864                   7811              FISH AND REPTILE SUPPLY
40116                   2643        SEAFOOD SHRIMP BREADED FROZEN
40134                   1218              DRIED BEEF SHELF STABLE
40677                   1366                         HOMINY GRITS
41829                   1036               FRUIT JUICE LEMON LIME
41868                   1486                           GUM BUBBLE
42597                   1290                          SOUP CANNED
43002                   7225                         RODENTICIDES
43092                   3597       SANDWICHES REFRIGERATED FROZEN
43305                   1282                     BABY FOOD JUNIOR
44001                   7215    AIR SPECIALTY FRSHN ARSL SPRY PMP
44160                   1003             CANNED FRUIT APPLE SAUCE
44544                   2620               VEGETABLES PEAS FROZEN
44595                   7385                          HEAT CANNED
44805                   7746          DRINKWARE CONTAINER AND SET
44808                   1448                     FRUIT PROTECTORS
45003                   7753   GARMENT STEAMER AND IRON APPLIANCE
46101                   1354                      CRACKERS GRAHAM
46548                   1318                 SNACKS PUFFED CHEESE
46785                   6003                       BABY ACCESSORY
47775                   7223         MOUSE AND RAT AND MOLE TRAPS
47958                   2672                       ICE CREAM BULK
48627                   3625              DAIRY MILK REFRIGERATED
48780                   1334                      PASTA SPAGHETTI
48783                   7722                     LABEL MAKER TAPE
49305                   1163                        HOT DOG SAUCE
49878                   8436                EYE DROPS AND LOTIONS
49971                   4050                        FRESH CARROTS
50463                   4009                BAKERY BISCUITS FRESH
50748                   1000                              PET TOY
51009                   7652                              CRAYONS
52023                   1212                   CORNED BEEF CANNED
52461                   1333                 SNACKS VARIETY PACKS
53055                   8617   ORAL CARE COMBINATIONS TRTMN PRGRM
53058                   1392                      MIXES PIE CRUST
53061                   8435                 FIRST AID TREATMENTS
53064                   7784    SKIN AND NAIL APPLIANCE ACCESSORY
53241                   1406               SYRUP BERRY FRUIT TYPE
53595                   2644         VEGETABLES LIMA BEANS FROZEN
53799                   8413                   VITAMINS REMAINING
53802                   1255                       MEXICAN SHELLS
53973                   7697                    BUCKETS AND PAILS
54546                   1376     MIXES CAKE LAYER 10 OZ AND UNDER
54549                   4230                           FRESH KIWI
54711                   7809     POOL AND SPA CHEMICALS TREATMENT
54873                   2629       FROZEN REFRIGERATED BREAKFASTS
55587                   1060        VEGETABLES BEANS GREEN CANNED
55608                   1082              VEGETABLES MIXED CANNED
55668                   1358       PIE AND PASTRY SHELLS PREPARED
58323                   1442       MILK WATER ADDITIVES SWEETENED
58536                   1477       SEASONING LIQUID AND REMAINING
58617                   1130                 GRAVY MIXES PACKAGED
58689                   3605                       CHEESE COTTAGE
58698                   3546            CHEESE NATURAL MOZZARELLA
58713                    117   SALAD DRESSING \MIRACLE WHIP\ TYPE
58878                   7881                      LAMPS REMAINING
59022                   3555              CHEESE PROCESSED LOAVES
59184                   1301                    PET CARE PET FOOD
59655                   3586     CHEESE PROCESSED SLICES AMERICAN
59673                   3553                        CHEESE GRATED
59991                   1055  VEGETABLE JUICE AND DRINK REMAINING
60039                   7008                DETERGENTS LIGHT DUTY
60117                   1421                        PEANUT BUTTER
60354                   1536             CANDY DIETETIC CHOCOLATE
60627                   3573                   CHILI REFRIGERATED
